treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Abre_Campo,2015-12-31T00:00:00,1.2,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Abre_Campo,2016-12-31T00:00:00,1.2,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Abre_Campo,2017-12-31T00:00:00,0.96,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Abre_Campo,2018-12-31T00:00:00,1.2,1.1728583574295044,2.26,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Acucena,2012-12-31T00:00:00,1.14,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Acucena,2013-12-31T00:00:00,1.14,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Acucena,2014-12-31T00:00:00,0.9,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Acucena,2015-12-31T00:00:00,1.2,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Acucena,2016-12-31T00:00:00,1.2,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Acucena,2017-12-31T00:00:00,0.77,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Acucena,2018-12-31T00:00:00,0.71,0.735187292098999,3.55,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Agua_Boa,2012-12-31T00:00:00,1.12,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Agua_Boa,2013-12-31T00:00:00,1.2,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Agua_Boa,2014-12-31T00:00:00,0.9,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Agua_Boa,2015-12-31T00:00:00,1.08,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Agua_Boa,2016-12-31T00:00:00,1.08,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Agua_Boa,2017-12-31T00:00:00,1.11,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Agua_Boa,2018-12-31T00:00:00,1.2,1.207200050354004,0.6,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Aguanil,2012-12-31T00:00:00,1.38,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Aguanil,2013-12-31T00:00:00,1.2,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Aguanil,2014-12-31T00:00:00,0.9,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Aguanil,2015-12-31T00:00:00,0.9,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Aguanil,2016-12-31T00:00:00,1.8,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Aguanil,2017-12-31T00:00:00,1.85,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Aguanil,2018-12-31T00:00:00,2.1,1.8711260557174683,10.9,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020),Aguas_Vermelhas,2012-12-31T00:00:00,1.8,-,-,treino,V38,LSTM,"Treinos/Altitude_Dataset_Unico_Ajuste/Modelos/V38_(2020)
    Modelo LSTM treinado com dados de 2012 a 2018, validado com os dados de 2019 e testado com os dados de 2020.
    Para esse treinamento foi utilizado o dataset V38.
    Estou usando o dataset V38 para o ano de 2020 para fazer o ajuste de hiperparametros.

    O modelo foi treinado com as seguintes configurações:
    input_size: 6

    encoder_n_layers = 4
    learning_rate: 0.0010330837083315822
    encoder_hidden_size: 192
    decoder_layers: 1
    decoder_hidden_size: 64
    batch_size: 32
    dropout: 0.3
    weight_decay: 0.0001
    steps: 1000
    ",2025-11-18T00:06:31
